CompanyRepID,Name,Email,CompanyName,Department,Position
john.doe@company.com,John Doe,john.doe@company.com,Company,Cybersecurity,Manager
john.wick@company2.com,John Wick,john.wick@company2.com,Company2,CEO,CEO
hareesh@mapletree.com,Hareesh,hareesh@mapletree.com,Mapletree,AI,CEO
james@mapletree.com,James,james@mapletree.com,Mapletree,HR,Manager
anthony@facebook.com,Anthony,anthony@facebook.com,Facebook,HR,Employee
anthony@facebook.com,Anthony,anthony@facebook.com,Facebook,HR,Employee
james@mapletree.com,James,james@mapletree.com,Mapletree,HR,Manager
james@mapletree.com,James,james@mapletree.com,Mapletree,HR,Manager
james@mapletree.com,James,james@mapletree.com,Mapletree,HR,Manager
james@mapletree.com,James,james@mapletree.com,Mapletree,HR,Manager
may@synapxe.com,May,may@synapxe.com,Synapxe,HR,Employee
anthony@facebook.com,Anthony,anthony@facebook.com,Facebook,HR,Manager
anthony@facebook.com,Anthony,anthony@facebook.com,facebook,hr,manager
anthony@facebook.com,Anthony,anthony@facebook.com,Facebook,HR,Manager
anthony@facebook.com,Anthony,anthony@facebook.com,Facebook,HR,Manager
may@synapxe.com,May,may@synapxe.com,Synapxe,HR,Employee
james@mapletree.com,James,james@mapletree.com,Mapletree,HR,Manager
